,Date,Fund,NAV,Units,Inv,Cur
45,09-2021,SBI_Magnum_Constant_Maturity_Fund,52.2456,95.697,4999.75,6087.55
46,09-2021,SBI_Magnum_Constant_Maturity_Fund,52.3656,95.478,4999.75,6073.62
47,09-2021,SBI_Magnum_Constant_Maturity_Fund,52.5558,95.132,4999.75,6051.61
48,10-2021,SBI_Magnum_Constant_Maturity_Fund,52.3279,95.547,4999.75,6078.01
49,10-2021,SBI_Magnum_Constant_Maturity_Fund,52.0806,96.0,4999.75,6106.83
50,10-2021,SBI_Magnum_Constant_Maturity_Fund,52.0779,96.005,4999.75,6107.15
51,10-2021,SBI_Magnum_Constant_Maturity_Fund,52.2634,95.664,4999.75,6085.45
52,11-2021,SBI_Magnum_Constant_Maturity_Fund,52.2407,95.706,4999.75,6088.13
53,11-2021,SBI_Magnum_Constant_Maturity_Fund,52.5878,95.074,4999.75,6047.92
54,11-2021,SBI_Magnum_Constant_Maturity_Fund,52.5268,95.185,4999.75,6054.98
55,11-2021,SBI_Magnum_Constant_Maturity_Fund,52.5841,95.081,4999.75,6048.37
56,12-2021,SBI_Magnum_Constant_Maturity_Fund,52.7553,94.772,4999.75,6028.71
57,12-2021,SBI_Magnum_Constant_Maturity_Fund,52.8035,94.686,4999.75,6023.24
58,12-2021,SBI_Magnum_Constant_Maturity_Fund,52.8232,94.651,4999.75,6021.02
59,12-2021,SBI_Magnum_Constant_Maturity_Fund,52.5412,95.159,4999.75,6053.33
60,01-2022,SBI_Magnum_Constant_Maturity_Fund,52.5523,95.139,4999.75,6052.06
61,01-2022,SBI_Magnum_Constant_Maturity_Fund,52.2291,95.727,4999.75,6089.46
62,01-2022,SBI_Magnum_Constant_Maturity_Fund,52.1499,95.873,4999.75,6098.75
63,01-2022,SBI_Magnum_Constant_Maturity_Fund,52.1491,95.874,4999.75,6098.81
64,02-2022,SBI_Magnum_Constant_Maturity_Fund,51.6446,96.811,4999.75,6158.42
65,02-2022,SBI_Magnum_Constant_Maturity_Fund,51.8955,96.343,4999.75,6128.65
66,02-2022,SBI_Magnum_Constant_Maturity_Fund,52.3682,95.473,4999.75,6073.3
67,02-2022,SBI_Magnum_Constant_Maturity_Fund,52.309,95.581,4999.75,6080.18
68,03-2022,SBI_Magnum_Constant_Maturity_Fund,52.0393,96.076,4999.75,6111.66
69,07-2024,SBI_Magnum_Constant_Maturity_Fund,60.2074,2242.137,134993.25,142628.61
70,04-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,217.6663,459.419,100000.0,166854.32
71,05-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,218.3787,-6.869,-1500.0,-2494.72
72,05-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,218.3787,-6.869,-1500.0,-2494.72
73,05-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,218.6565,-6.86,-1500.0,-2491.45
74,05-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,218.6565,-6.86,-1500.0,-2491.45
75,05-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,218.9368,-6.851,-1500.0,-2488.18
76,05-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,218.9368,-6.851,-1500.0,-2488.18
77,05-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,219.2107,-6.843,-1500.0,-2485.28
78,05-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,219.2107,-6.843,-1500.0,-2485.28
79,06-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,219.3296,-6.839,-1500.0,-2483.83
80,06-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,219.3296,-6.839,-1500.0,-2483.83
81,06-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,219.5673,-6.832,-1500.0,-2481.28
82,06-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,219.5673,-6.832,-1500.0,-2481.28
83,06-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,219.844,-6.823,-1500.0,-2478.01
84,06-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,219.844,-6.823,-1500.0,-2478.01
85,06-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,220.1196,-6.814,-1500.0,-2474.75
86,06-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,220.1196,-6.814,-1500.0,-2474.75
87,06-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,220.4051,-6.806,-1500.0,-2471.84
88,06-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,220.4051,-6.806,-1500.0,-2471.84
89,07-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,220.6232,-6.799,-1500.0,-2469.3
90,07-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,220.6232,-6.799,-1500.0,-2469.3
91,07-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,220.8113,-6.793,-1500.0,-2467.12
92,07-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,220.8113,-6.793,-1500.0,-2467.12
93,07-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,221.0842,-6.785,-1500.0,-2464.21
94,07-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,221.0842,-6.785,-1500.0,-2464.21
95,07-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,221.3658,-6.776,-1500.0,-2460.94
96,07-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,221.3658,-6.776,-1500.0,-2460.94
97,07-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,221.6443,-6.768,-1500.0,-2458.04
98,07-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,221.6443,-6.768,-1500.0,-2458.04
99,08-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,221.8006,-6.763,-1500.0,-2456.22
100,08-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,221.8006,-6.763,-1500.0,-2456.22
101,08-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,222.0437,-6.755,-1500.0,-2453.32
102,08-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,222.0437,-6.755,-1500.0,-2453.32
103,08-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,222.3243,-6.747,-1500.0,-2450.41
104,08-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,222.3243,-6.747,-1500.0,-2450.41
105,08-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,222.364,4.578,1018.05,1662.66
106,08-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,222.6017,-6.738,-1500.0,-2447.14
107,08-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,222.6017,-6.738,-1500.0,-2447.14
108,08-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,222.8335,224.383,50000.0,81492.65
109,08-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,222.8721,-6.73,-1500.0,-2444.24
110,08-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,222.8721,-6.73,-1500.0,-2444.24
111,09-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,223.0289,-6.726,-1500.0,-2442.79
112,09-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,223.0289,-6.726,-1500.0,-2442.79
113,09-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,223.2632,-6.719,-1500.0,-2440.24
114,09-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,223.2632,-6.719,-1500.0,-2440.24
115,09-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,223.5368,-6.71,-1500.0,-2436.97
116,09-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,223.5368,-6.71,-1500.0,-2436.97
117,09-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,223.814,-6.702,-1500.0,-2434.07
118,09-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,223.814,-6.702,-1500.0,-2434.07
119,09-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,224.0935,-6.694,-1500.0,-2431.16
120,09-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,224.0935,-6.694,-1500.0,-2431.16
121,10-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,224.3404,-6.686,-1500.0,-2428.26
122,10-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,224.3404,-6.686,-1500.0,-2428.26
123,10-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,224.5743,-6.679,-1500.0,-2425.72
124,10-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,224.5743,-6.679,-1500.0,-2425.72
125,10-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,224.8533,-6.671,-1500.0,-2422.81
126,10-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,224.8533,-6.671,-1500.0,-2422.81
127,10-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,225.1312,-6.663,-1500.0,-2419.9
128,10-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,225.1312,-6.663,-1500.0,-2419.9
129,10-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,225.4052,-6.655,-1500.0,-2417.0
130,10-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,225.4052,-6.655,-1500.0,-2417.0
131,11-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,225.4896,-6.652,-1500.0,-2415.91
132,11-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,225.4896,-6.652,-1500.0,-2415.91
133,11-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,225.7264,-6.645,-1500.0,-2413.37
134,11-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,225.7264,-6.645,-1500.0,-2413.37
135,11-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,226.0041,-6.637,-1500.0,-2410.46
136,11-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,226.0041,-6.637,-1500.0,-2410.46
137,11-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,226.2837,-6.629,-1500.0,-2407.56
138,11-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,226.2837,-6.629,-1500.0,-2407.56
139,11-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,226.56,-6.621,-1500.0,-2404.65
140,11-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,226.56,-6.621,-1500.0,-2404.65
141,12-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,226.7965,-6.614,-1500.0,-2402.11
142,12-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,226.7965,-6.614,-1500.0,-2402.11
143,12-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,226.9142,-6.61,-1500.0,-2400.66
144,12-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,226.9142,-6.61,-1500.0,-2400.66
145,12-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,227.1906,-6.602,-1500.0,-2397.75
146,12-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,227.1906,-6.602,-1500.0,-2397.75
147,12-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,227.4621,-6.595,-1500.0,-2395.21
148,12-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,227.4621,-6.595,-1500.0,-2395.21
149,12-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,227.7509,-6.586,-1500.0,-2391.94
150,12-2017,Aditya_Birla_Sun_Life_Money_Manager_Fund,227.7509,-6.586,-1500.0,-2391.94
151,01-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,227.9465,-6.58,-1500.0,-2389.76
152,01-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,227.9465,-6.58,-1500.0,-2389.76
153,01-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,228.2296,-6.572,-1500.0,-2386.86
154,01-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,228.2296,-6.572,-1500.0,-2386.86
155,01-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,228.5123,-6.564,-1500.0,-2383.95
156,01-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,228.5123,-6.564,-1500.0,-2383.95
157,01-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,228.7978,-6.556,-1500.0,-2381.04
158,01-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,228.7978,-6.556,-1500.0,-2381.04
159,01-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,229.0896,-6.548,-1500.0,-2378.14
160,01-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,229.0896,-6.548,-1500.0,-2378.14
161,02-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,229.2133,-6.544,-1500.0,-2376.69
162,02-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,229.2133,-6.544,-1500.0,-2376.69
163,02-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,229.4616,-6.537,-1500.0,-2374.14
164,02-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,229.4616,-6.537,-1500.0,-2374.14
165,02-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,229.7563,-6.529,-1500.0,-2371.24
166,02-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,229.7563,-6.529,-1500.0,-2371.24
167,02-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,230.0465,-6.52,-1500.0,-2367.97
168,02-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,230.0465,-6.52,-1500.0,-2367.97
169,02-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,230.3425,-6.512,-1500.0,-2365.06
170,02-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,230.3425,-6.512,-1500.0,-2365.06
171,03-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,230.3858,-6.511,-1500.0,-2364.7
172,03-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,230.3858,-6.511,-1500.0,-2364.7
173,03-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,230.6502,-6.503,-1500.0,-2361.8
174,03-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,230.6502,-6.503,-1500.0,-2361.8
175,03-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,230.9667,-6.494,-1500.0,-2358.53
176,03-2018,Aditya_Birla_Sun_Life_Money_Manager_Fund,230.9667,-0.36,-83.15,-130.75
177,06-2017,HDFC_Short_Term_Debt_Fund,18.4376,2711.85,50000.0,86345.03
178,07-2017,HDFC_Short_Term_Debt_Fund,18.5919,2689.343,50000.0,85628.41
179,02-2020,HDFC_Short_Term_Debt_Fund,22.811,4383.85,100000.0,139581.35
180,02-2020,HDFC_Short_Term_Debt_Fund,22.8047,4385.061,100000.0,139619.9
181,10-2020,HDFC_Short_Term_Debt_Fund,24.4985,4081.678,99995.0,129960.22
182,06-2021,HDFC_Short_Term_Debt_Fund,25.3598,3943.052,99995.0,125546.38
183,09-2021,HDFC_Short_Term_Debt_Fund,25.7247,3887.12,99995.0,123765.51
184,07-2024,HDFC_Short_Term_Debt_Fund,30.2674,3303.72,99995.0,105190.11
185,12-2018,Nippon_India_Gilt_Securities_Inst,25.6657,3896.251,100000.0,161711.17
186,02-2020,Nippon_India_Gilt_Securities_Inst,30.2094,3310.228,100000.0,137388.7
187,02-2021,Axis_Banking_&_PSU_Debt_Fund,2085.2295,23.977,49997.5,62802.67
188,05-2021,Axis_Banking_&_PSU_Debt_Fund,2112.422,23.668,49997.5,61993.31
189,11-2017,HDFC_Corporate_Bond_Fund,19.0769,2620.971,50000.0,84062.14
190,04-2020,HDFC_Corporate_Bond_Fund,23.0439,2169.772,50000.0,69590.88
191,06-2017,Indiabulls_Ultra_Short_Term,1638.3132,61.038,100000.0,128288.92
192,10-2017,Indiabulls_Ultra_Short_Term,1676.4474,29.825,50000.0,62685.82
193,06-2020,Indiabulls_Ultra_Short_Term,2044.4705,-61.0,-124712.7,-128209.05
194,11-2020,Indiabulls_Ultra_Short_Term,2075.435,-29.863,-61978.72,-62765.69
